item,mode2,n,M,SD,Mdn,IQR
agent_represented,AI-to-AI,20,5.6,1.5,6.0,5-7
agent_represented,Human-to-AI,20,5.75,0.91,6.0,5-6
control,AI-to-AI,20,4.4,1.73,5.0,3-6
control,Human-to-AI,20,4.5,2.16,4.5,3-7
effort_invested,AI-to-AI,20,4.2,1.54,4.5,3-5
effort_invested,Human-to-AI,20,5.2,1.74,5.0,5-6
emot_anxious,AI-to-AI,20,4.05,1.76,4.0,3-5
emot_anxious,Human-to-AI,20,3.15,2.18,2.0,1-5
emot_pleasant,AI-to-AI,20,5.25,1.37,6.0,5-6
emot_pleasant,Human-to-AI,20,4.85,1.98,5.5,4-6
engage_engaged,AI-to-AI,20,5.9,1.29,6.0,5-7
engage_engaged,Human-to-AI,20,6.35,0.81,7.0,6-7
outfair_share,AI-to-AI,20,4.8,1.79,5.0,4-6
outfair_share,Human-to-AI,20,5.0,2.0,5.5,4-7
satisfaction,AI-to-AI,20,4.9,1.59,5.0,4-6
satisfaction,Human-to-AI,20,5.2,1.85,6.0,4-6
would_use_again,AI-to-AI,20,4.35,2.13,5.0,3-6
would_use_again,Human-to-AI,20,4.55,2.24,5.5,2-6
