dv,priority,mode2,role,n,M,SD,Mdn,IQR
satisfaction,True,AI-to-AI,buyer,10,4.6,1.58,5.0,4-5
satisfaction,True,AI-to-AI,seller,10,5.2,1.62,5.5,5-6
satisfaction,True,Human-to-AI,buyer,10,4.4,2.12,5.0,2-6
satisfaction,True,Human-to-AI,seller,10,6.0,1.15,6.0,6-7
would_use_again,True,AI-to-AI,buyer,10,3.7,2.26,3.5,2-6
would_use_again,True,AI-to-AI,seller,10,5.0,1.89,5.5,4-6
would_use_again,True,Human-to-AI,buyer,10,4.2,2.39,4.5,2-6
would_use_again,True,Human-to-AI,seller,10,4.9,2.13,5.5,4-7
agent_represented,True,AI-to-AI,buyer,10,5.2,1.81,6.0,4-6
agent_represented,True,AI-to-AI,seller,10,6.0,1.05,6.0,5-7
agent_represented,True,Human-to-AI,buyer,10,5.8,0.79,6.0,5-6
agent_represented,True,Human-to-AI,seller,10,5.7,1.06,5.5,5-7
control,True,AI-to-AI,buyer,10,4.3,1.7,5.0,4-5
control,True,AI-to-AI,seller,10,4.5,1.84,5.0,3-6
control,True,Human-to-AI,buyer,10,3.4,2.17,3.0,2-4
control,True,Human-to-AI,seller,10,5.6,1.58,6.0,5-7
emot_pleasant,False,AI-to-AI,buyer,10,5.1,1.29,5.5,5-6
emot_pleasant,False,AI-to-AI,seller,10,5.4,1.51,6.0,4-6
emot_pleasant,False,Human-to-AI,buyer,10,4.5,2.07,4.5,3-6
emot_pleasant,False,Human-to-AI,seller,10,5.2,1.93,6.0,4-7
emot_anxious,False,AI-to-AI,buyer,10,4.9,1.37,5.0,4-6
emot_anxious,False,AI-to-AI,seller,10,3.2,1.75,3.0,2-4
emot_anxious,False,Human-to-AI,buyer,10,2.6,1.96,2.0,1-4
emot_anxious,False,Human-to-AI,seller,10,3.7,2.36,4.0,1-6
effort_invested,False,AI-to-AI,buyer,10,4.3,1.7,5.0,3-5
effort_invested,False,AI-to-AI,seller,10,4.1,1.45,4.0,3-5
effort_invested,False,Human-to-AI,buyer,10,6.1,0.88,6.0,5-7
effort_invested,False,Human-to-AI,seller,10,4.3,1.95,5.0,4-5
engage_engaged,False,AI-to-AI,buyer,10,5.8,1.4,6.0,5-7
engage_engaged,False,AI-to-AI,seller,10,6.0,1.25,6.5,5-7
engage_engaged,False,Human-to-AI,buyer,10,6.4,0.84,7.0,6-7
engage_engaged,False,Human-to-AI,seller,10,6.3,0.82,6.5,6-7
outfair_share,False,AI-to-AI,buyer,10,4.6,1.65,4.5,4-6
outfair_share,False,AI-to-AI,seller,10,5.0,2.0,5.5,4-7
outfair_share,False,Human-to-AI,buyer,10,4.7,2.21,5.0,3-7
outfair_share,False,Human-to-AI,seller,10,5.3,1.83,5.5,5-7
