dimension,level,role,n
orientation,distributive,buyer,9
orientation,distributive,seller,7
orientation,integrative,buyer,1
orientation,integrative,seller,1
orientation,mixed,buyer,0
orientation,mixed,seller,2
anchor,high,buyer,1
anchor,high,seller,8
anchor,moderate,buyer,6
anchor,moderate,seller,0
anchor,none,buyer,2
anchor,none,seller,2
threshold_stated,yes,buyer,7
threshold_stated,yes,seller,8
threshold_stated,no,buyer,3
threshold_stated,no,seller,2
politeness_instructed,yes,buyer,2
politeness_instructed,yes,seller,6
politeness_instructed,no,buyer,8
politeness_instructed,no,seller,4
info_strategy,emphasize_value,buyer,3
info_strategy,emphasize_value,seller,6
info_strategy,conceal,buyer,0
info_strategy,conceal,seller,1
info_strategy,neutral,buyer,7
info_strategy,neutral,seller,3
